Field Name
RADMCHI
MNAME
MLOCCITY
MLOCSTCD
MLOCZIP
MSTATE
CNTYNAME
GENBD
PEDBD
MSICBD
CICBD
PEDICBD
SPCICBD
OTHICBD
OTHBD94
OTHOTH
FTTOTH
PTTOTH
FTRNLT
PTRNLT
